procedure_name	procedure_mode	annotation_source	facade	config_type	result_type	algorithm_family	estimate_method	memory_estimation_status	output_artifact	support_tier	unsupported_reason	confidence	falsifier
gds.alpha.sllpa.stream	READ	proc/community/src/main/java/org/neo4j/gds/sllpa/SpeakerListenerLPAStreamProc.java:64	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<SpeakerListenerLPAStreamResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.sllpa.stream.estimate	READ	proc/community/src/main/java/org/neo4j/gds/sllpa/SpeakerListenerLPAStreamProc.java:76	facade.deprecatedProcedures	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.sllpa.write	WRITE	proc/community/src/main/java/org/neo4j/gds/sllpa/SpeakerListenerLPAWriteProc.java:65	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<SpeakerListenerLPAWriteResult>	gds_public_surface	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Neo4j write-back or export side effect	Deprecated alias	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.sllpa.write.estimate	READ	proc/community/src/main/java/org/neo4j/gds/sllpa/SpeakerListenerLPAWriteProc.java:77	facade.deprecatedProcedures	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.triangles	READ	proc/community/src/main/java/org/neo4j/gds/triangle/TriangleProc.java:50	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<TriangleStreamResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.bellmanFord.mutate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/bellmanford/BellmanFordMutateProc.java:41	facade.algorithms	Map<String,Object> configuration	Stream<BellmanFordMutateResult>	gds_public_surface	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.bellmanFord.stats	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/bellmanford/BellmanFordStatsProc.java:41	facade.algorithms	Map<String,Object> configuration	Stream<BellmanFordStatsResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Stats result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.bellmanFord.stream	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/bellmanford/BellmanFordStreamProc.java:41	facade.algorithms	Map<String,Object> configuration	Stream<BellmanFordStreamResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.bellmanFord.write	WRITE	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/bellmanford/BellmanFordWriteProc.java:42	facade.algorithms	Map<String,Object> configuration	Stream<BellmanFordWriteResult>	gds_public_surface	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Neo4j write-back or export side effect	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.closeness.mutate	MUTATE_NODE_PROPERTY	algorithm-specifications/src/main/java/org/neo4j/gds/closeness/BetaClosenessCentralityMutateSpec.java:34	AlgorithmSpec loaded by procedure-collector	ClosenessCentralityMutateConfig	AlgorithmSpec class BetaClosenessCentralityMutateSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	In-memory catalog graph mutation	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.closeness.write	WRITE_NODE_PROPERTY	algorithm-specifications/src/main/java/org/neo4j/gds/closeness/BetaClosenessCentralityWriteSpec.java:34	AlgorithmSpec loaded by procedure-collector	ClosenessCentralityWriteConfig	AlgorithmSpec class BetaClosenessCentralityWriteSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	Neo4j write-back or export side effect	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.collapsePath.mutate	READ	proc/misc/src/main/java/org/neo4j/gds/walking/CollapsePathMutateProc.java:49	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<CollapsePathMutateResult>	gds_public_surface	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Deprecated alias	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.graph.export.csv	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java:54	facade.graphCatalog	Map<String,Object> configuration	Stream<FileExportResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.graph.export.csv.estimate	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java:77	facade.graphCatalog	Map<String,Object> configuration	Stream<MemoryEstimateResult>	graph_catalog	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.graph.generate	READ	proc/catalog/src/main/java/org/neo4j/gds/beta/generator/GraphGenerateProc.java:43	facade.graphCatalog	Map<String,Object> configuration	Stream<GraphGenerationStats>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.graph.project.subgraph	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java:111	facade.graphCatalog	Map<String,Object> configuration	Stream<GraphFilterResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.graph.relationships.stream	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamRelationshipsProc.java:51	facade.graphCatalog	Map<String,Object> configuration	Stream<TopologyResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.graphSage.mutate	MUTATE_NODE_PROPERTY	algorithm-specifications/src/main/java/org/neo4j/gds/embeddings/graphsage/GraphSageMutateSpec.java:40	AlgorithmSpec loaded by procedure-collector	GraphSageMutateConfig	AlgorithmSpec class GraphSageMutateSpec	node_embedding	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	In-memory catalog graph mutation	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.graphSage.stream	STREAM	algorithm-specifications/src/main/java/org/neo4j/gds/embeddings/graphsage/GraphSageStreamSpec.java:40	AlgorithmSpec loaded by procedure-collector	GraphSageStreamConfig	AlgorithmSpec class GraphSageStreamSpec	node_embedding	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.graphSage.stream	READ	proc/embeddings/src/main/java/org/neo4j/gds/embeddings/graphsage/GraphSageStreamProc.java:42	facade.algorithms	Map<String,Object> configuration	Stream<GraphSageStreamResult>	node_embedding	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.graphSage.train	TRAIN	algorithm-specifications/src/main/java/org/neo4j/gds/embeddings/graphsage/GraphSageTrainSpec.java:39	AlgorithmSpec loaded by procedure-collector	GraphSageTrainConfig	AlgorithmSpec class GraphSageTrainSpec	node_embedding	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	Model artifact plus training metrics	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.graphSage.train	READ	proc/embeddings/src/main/java/org/neo4j/gds/embeddings/graphsage/GraphSageTrainProc.java:42	facade.algorithms	Map<String,Object> configuration	Stream<GraphSageTrainResult>	node_embedding	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Model artifact plus training metrics	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.graphSage.train.estimate	READ	proc/embeddings/src/main/java/org/neo4j/gds/embeddings/graphsage/GraphSageTrainProc.java:51	facade.algorithms	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	node_embedding	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.graphSage.write	WRITE_NODE_PROPERTY	algorithm-specifications/src/main/java/org/neo4j/gds/embeddings/graphsage/GraphSageWriteSpec.java:40	AlgorithmSpec loaded by procedure-collector	GraphSageWriteConfig	AlgorithmSpec class GraphSageWriteSpec	node_embedding	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	Neo4j write-back or export side effect	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.graphSage.write	WRITE	proc/embeddings/src/main/java/org/neo4j/gds/embeddings/graphsage/GraphSageWriteProc.java:41	facade.algorithms	Map<String,Object> configuration	Stream<DefaultNodeEmbeddingsWriteResult>	node_embedding	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Neo4j write-back or export side effect	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.influenceMaximization.celf.mutate	READ	proc/centrality/src/main/java/org/neo4j/gds/influenceMaximization/CELFMutateProc.java:60	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<CELFMutateResult>	gds_public_surface	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Deprecated alias	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.influenceMaximization.celf.mutate.estimate	READ	proc/centrality/src/main/java/org/neo4j/gds/influenceMaximization/CELFMutateProc.java:81	facade.deprecatedProcedures	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.influenceMaximization.celf.stats.estimate	READ	proc/centrality/src/main/java/org/neo4j/gds/influenceMaximization/CELFStatsProc.java:81	facade.deprecatedProcedures	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.influenceMaximization.celf.stream	READ	proc/centrality/src/main/java/org/neo4j/gds/influenceMaximization/CELFStreamProc.java:60	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<CELFStreamResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.influenceMaximization.celf.stream.estimate	READ	proc/centrality/src/main/java/org/neo4j/gds/influenceMaximization/CELFStreamProc.java:81	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.influenceMaximization.celf.write.estimate	READ	proc/centrality/src/main/java/org/neo4j/gds/influenceMaximization/CELFWriteProc.java:82	facade.deprecatedProcedures	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.k1coloring.stats	READ	proc/community/src/main/java/org/neo4j/gds/k1coloring/K1ColoringStatsProc.java:60	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<K1ColoringStatsResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Stats result stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.k1coloring.write	WRITE	proc/community/src/main/java/org/neo4j/gds/k1coloring/K1ColoringWriteProc.java:61	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<K1ColoringWriteResult>	gds_public_surface	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Neo4j write-back or export side effect	Deprecated alias	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.leiden.stream	READ	proc/community/src/main/java/org/neo4j/gds/leiden/LeidenStreamProc.java:62	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<LeidenStreamResult>	community	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.model.drop	READ	proc/catalog/src/main/java/org/neo4j/gds/model/catalog/ModelDropProc.java:49	facade.deprecatedProcedures	modelName, failIfMissing	Stream<BetaModelCatalogResult>	model_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Catalog artifact removal	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.model.exists	READ	proc/catalog/src/main/java/org/neo4j/gds/model/catalog/ModelExistsProc.java:46	facade.deprecatedProcedures	modelName	Stream<ModelExistsResult>	model_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Catalog metadata result	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.model.list	READ	proc/catalog/src/main/java/org/neo4j/gds/model/catalog/ModelListProc.java:47	facade.deprecatedProcedures	modelName	Stream<BetaModelCatalogResult>	model_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Catalog metadata result	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.modularityOptimization.stream	READ	proc/community/src/main/java/org/neo4j/gds/modularityoptimization/ModularityOptimizationStreamProc.java:62	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<ModularityOptimizationStreamResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.modularityOptimization.write	WRITE	proc/community/src/main/java/org/neo4j/gds/modularityoptimization/ModularityOptimizationWriteProc.java:63	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<ModularityOptimizationWriteResult>	gds_public_surface	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Neo4j write-back or export side effect	Deprecated alias	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.drop	READ	proc/pipeline-catalog/src/main/java/org/neo4j/gds/pipeline/catalog/PipelineDropProc.java:49	facade.deprecatedProcedures	pipelineName, failIfMissing	Stream<PipelineCatalogResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Catalog artifact removal	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.exists	READ	proc/pipeline-catalog/src/main/java/org/neo4j/gds/pipeline/catalog/PipelineExistsProc.java:46	facade.deprecatedProcedures	pipelineName	Stream<PipelineExistsResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Catalog metadata result	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.linkPrediction.addFeature	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/linkmodels/pipeline/LinkPredictionPipelineAddStepProcs.java:48	facade.pipelines	Procedure parameters	Stream<PipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.linkPrediction.addLogisticRegression	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/linkmodels/pipeline/LinkPredictionPipelineAddTrainerMethodProcs.java:39	facade.pipelines	config, config	Stream<PipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.linkPrediction.addNodeProperty	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/linkmodels/pipeline/LinkPredictionPipelineAddStepProcs.java:38	facade.pipelines	Procedure parameters	Stream<PipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.linkPrediction.addRandomForest	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/linkmodels/pipeline/LinkPredictionPipelineAddTrainerMethodProcs.java:51	facade.pipelines	config, config	Stream<PipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.linkPrediction.configureSplit	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/linkmodels/pipeline/LinkPredictionPipelineConfigureSplitProc.java:38	facade.pipelines	Procedure parameters	Stream<PipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.linkPrediction.create	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/linkmodels/pipeline/LinkPredictionPipelineCreateProc.java:37	facade.pipelines	Procedure parameters	Stream<PipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.linkPrediction.predict.mutate	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/linkmodels/pipeline/predict/LinkPredictionPipelineMutateProc.java:41	facade.pipelines	Map<String,Object> configuration	Stream<MutateResult>	machine_learning_pipeline	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.linkPrediction.predict.mutate.estimate	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/linkmodels/pipeline/predict/LinkPredictionPipelineMutateProc.java:50	facade.pipelines	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	machine_learning_pipeline	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.linkPrediction.predict.stream	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/linkmodels/pipeline/predict/LinkPredictionPipelineStreamProc.java:41	facade.pipelines	Map<String,Object> configuration	Stream<StreamResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.linkPrediction.predict.stream.estimate	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/linkmodels/pipeline/predict/LinkPredictionPipelineStreamProc.java:50	facade.pipelines	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	machine_learning_pipeline	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.linkPrediction.train	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/linkmodels/pipeline/train/LinkPredictionPipelineTrainProc.java:40	facade.pipelines	graphNameOrConfiguration plus algoConfiguration	Stream<LinkPredictionTrainResult>	machine_learning_pipeline	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Model artifact plus training metrics	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.linkPrediction.train.estimate	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/linkmodels/pipeline/train/LinkPredictionPipelineTrainProc.java:49	facade.pipelines	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	machine_learning_pipeline	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.list	READ	proc/pipeline-catalog/src/main/java/org/neo4j/gds/pipeline/catalog/PipelineListProc.java:47	facade.deprecatedProcedures	pipelineName	Stream<PipelineCatalogResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Catalog metadata result	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.nodeClassification.addLogisticRegression	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/NodeClassificationPipelineAddTrainerMethodProcs.java:39	facade.pipelines	config, config	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.nodeClassification.addNodeProperty	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/NodeClassificationPipelineAddStepProcs.java:38	facade.pipelines	Procedure parameters	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.nodeClassification.addRandomForest	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/NodeClassificationPipelineAddTrainerMethodProcs.java:48	facade.pipelines	config, config	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.nodeClassification.configureSplit	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/NodeClassificationPipelineConfigureSplitProc.java:38	facade.pipelines	Procedure parameters	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.nodeClassification.create	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/NodeClassificationPipelineCreateProc.java:37	facade.pipelines	Procedure parameters	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.nodeClassification.predict.mutate	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/predict/NodeClassificationPipelineMutateProc.java:41	facade.pipelines	Map<String,Object> configuration	Stream<PredictMutateResult>	machine_learning_pipeline	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.nodeClassification.predict.mutate.estimate	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/predict/NodeClassificationPipelineMutateProc.java:50	facade.pipelines	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	machine_learning_pipeline	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.beta.pipeline.nodeClassification.predict.stream	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/predict/NodeClassificationPipelineStreamProc.java:41	facade.pipelines	Map<String,Object> configuration	Stream<NodeClassificationStreamResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
