algorithm_id	canonical_name	category	aliases	occurrence_ids	architecture_option_ids
ALG-044	LSM compaction	Storage	Compaction, LSM, SSTable, TieredMergePolicy, compaction, lsm, sstable	A07-O0003,A07-O0161,A07-O0163,A07-O0166,A07-O0188,A07-O0211,A07-O0212,A07-O0224,A07-O0248,A07-O0257,A07-O0262,A07-O0269,A07-O0279,A07-O0304,A07-O0305,A07-O0312,A07-O0323,A07-O0329,A07-O0333,A07-O0344,A07-O0362,A07-O0374,A07-O0388,A07-O0474,A07-O0526,A07-O0528,A07-O0641,A07-O0649,A07-O0653,A07-O0661,A07-O0667,A07-O0669,A07-O0671,A07-O0674,A07-O0677,A07-O0679,A07-O0689,A07-O0695,A07-O0697,A07-O0702,A07-O0713,A07-O0714,A07-O0716,A07-O0829,A07-O0832,A07-O0835,A07-O0836,A07-O0858,A07-O0860,A07-O0899,A07-O0958,A08-O0001,A08-O0146,A08-O0148,A08-O0151,A08-O0152,A08-O0153,A08-O0155,A08-O0159,A08-O0171,A08-O0175,A08-O0177,A08-O0179,A08-O0250,A08-O0273,A08-O0277,A08-O0278,A08-O0292,A08-O0310,A08-O0311,A08-O0318,A08-O0333,A08-O0342,A08-O0344,A08-O0347,A08-O0348,A08-O0353,A08-O0383,A08-O0400,A08-O0401,A08-O0425,A08-O0455,A08-O0487,A08-O0521,A08-O0572,A08-O0599,A08-O0611,A08-O0652,A08-O0674,A08-O0680,A08-O0694,A08-O0724,A08-O0785,A08-O0792,A08-O0803,A08-O0804,A08-O0920,A08-O0926,A08-O0977,A08-O0994,A08-O0996,A08-O1011,A08-O1026,A08-O1030,A08-O1036,A08-O1051,A08-O1058,A08-O1063,A08-O1068,A09-O0147,A09-O0149,A09-O0151,A09-O0153,A09-O0154,A09-O0159,A09-O0160,A09-O0163,A09-O0167,A09-O0178,A09-O0182,A09-O0184,A09-O0186,A09-O0305,A09-O0321,A09-O0324,A09-O0333,A09-O0348,A09-O0350,A09-O0357,A09-O0370,A09-O0374,A09-O0376,A09-O0380,A09-O0386,A09-O0395,A09-O0403,A09-O0429,A09-O0439,A09-O0472,A09-O0473,A09-O0483,A09-O0512,A09-O0518,A09-O0554,A09-O0562,A09-O0567,A09-O0574,A09-O0605,A09-O0660,A09-O0665,A09-O0674,A09-O0677,A09-O0678,A09-O0680,A09-O0681,A09-O0682,A09-O0684,A09-O0685,A09-O0688,A09-O0690,A09-O0692,A09-O0697,A09-O0698,A09-O0700,A09-O0701,A09-O0702,A09-O0703,A09-O0705,A09-O0706,A09-O0711,A09-O0712,A09-O0713,A09-O0714,A09-O0716,A09-O0717,A09-O0718,A09-O0720,A09-O0721,A09-O0722,A09-O0723,A09-O0724,A09-O0725,A09-O0726,A09-O0727,A09-O0728,A09-O0730,A09-O0734,A09-O0735,A09-O0737,A09-O0738,A09-O0741,A09-O0742,A09-O0744,A09-O0746,A09-O0750,A09-O0752,A09-O0753,A09-O0754,A09-O0755,A09-O0756,A09-O0757,A09-O0758,A09-O0759,A09-O0765,A09-O0766,A09-O0767,A09-O0768,A09-O0769,A09-O0770,A09-O0771,A09-O0772,A09-O0773,A09-O0774,A09-O0775,A09-O0776,A09-O0857,A09-O0932,A09-O0935,A09-O0936,A09-O0985,A09-O0996,A09-O1032,A09-O1044,A09-O1059,A09-O1065,A09-O1067,A09-O1072,A09-O1076,A09-O1078,A09-O1089,A09-O1094,A09-O1096,A09-O1101,A09-O1113,A09-O1114,A09-O1116,A09-O1168,A09-O1173,A09-O1177,A09-O1179,A09-O1208	ALG-044-A1,ALG-044-A2,ALG-044-A3
ALG-045	node2vec random-walk embeddings	Embeddings	node2vec	A08-O0558,A09-O0921,A09-O0923	ALG-045-A1,ALG-045-A2,ALG-045-A3
ALG-046	NodeSimilarity	Similarity	NodeSimilarity, node similarity	A08-O0040,A08-O0059,A08-O0551,A09-O0009,A09-O0056,A09-O0059,A09-O0100	ALG-046-A1,ALG-046-A2,ALG-046-A3
ALG-047	Ordered search and merge	Storage	binary search, merge-sort, sorted run, sorted runs	A08-O0150,A08-O0160,A08-O1083,A08-O1127,A09-O0146,A09-O0155,A09-O0157,A09-O0168,A09-O0679,A09-O0686,A09-O0691,A09-O0693,A09-O0694,A09-O0695,A09-O0696,A09-O0699,A09-O0704,A09-O0710,A09-O0736,A09-O0743,A09-O0745,A09-O0747,A09-O0751	ALG-047-A1,ALG-047-A2,ALG-047-A3
ALG-048	Out-of-core graph processing	Out-of-core	GraphChi, Out-of-core, X-Stream, out-of-core, x stream	A07-O0151,A07-O0154,A08-O0289,A08-O0530,A08-O0567,A08-O0568,A08-O0570,A08-O0737,A08-O0892,A08-O0912,A09-O0096,A09-O0331,A09-O0369,A09-O0377,A09-O0618,A09-O0825,A09-O0826,A09-O0910,A09-O0911,A09-O0912,A09-O0943	ALG-048-A1,ALG-048-A2,ALG-048-A3
ALG-049	PageRank power iteration	Centrality	PageRank, pageRank, pagerank	A07-O0027,A07-O0033,A07-O0036,A07-O0054,A07-O0071,A07-O0080,A07-O0118,A07-O0181,A07-O0218,A07-O0787,A07-O0802,A07-O0806,A07-O0812,A08-O0009,A08-O0033,A08-O0038,A08-O0045,A08-O0239,A08-O0441,A08-O0538,A08-O0615,A08-O0707,A08-O0715,A08-O0729,A08-O0731,A08-O0736,A08-O0746,A08-O0795,A08-O0799,A08-O0880,A08-O0881,A08-O0886,A08-O0887,A08-O0888,A08-O0889,A08-O0890,A08-O0893,A08-O0894,A08-O0896,A08-O0904,A08-O0905,A08-O0906,A08-O0907,A08-O0909,A08-O0915,A08-O0916,A08-O0918,A08-O0932,A09-O0007,A09-O0021,A09-O0026,A09-O0037,A09-O0039,A09-O0044,A09-O0050,A09-O0065,A09-O0069,A09-O0087,A09-O0428,A09-O0592,A09-O0597,A09-O0611,A09-O0614,A09-O0670,A09-O0807,A09-O0808,A09-O0809,A09-O0816,A09-O0817,A09-O0820,A09-O0821,A09-O0822,A09-O0827,A09-O0828,A09-O0830,A09-O0832,A09-O0835,A09-O0836,A09-O0837,A09-O0838,A09-O0840,A09-O0841,A09-O0844,A09-O0845,A09-O0919,A09-O0976,A09-O1000,A09-O1027,A09-O1049,A09-O1054,A09-O1129,A09-O1145	ALG-049-A1,ALG-049-A2,ALG-049-A3
ALG-050	Posting block compression	Text storage	Posting, Skip data, docID, posting, skip data, skip list	A07-O0005,A07-O0089,A07-O0090,A07-O0100,A07-O0104,A07-O0107,A07-O0108,A07-O0110,A07-O0114,A07-O0123,A07-O0128,A07-O0131,A07-O0229,A07-O0230,A07-O0231,A07-O0238,A07-O0253,A07-O0263,A07-O0275,A07-O0277,A07-O0281,A07-O0286,A07-O0293,A07-O0294,A07-O0296,A07-O0300,A07-O0310,A07-O0314,A07-O0318,A07-O0321,A07-O0327,A07-O0340,A07-O0347,A07-O0364,A07-O0370,A07-O0377,A07-O0425,A07-O0433,A07-O0464,A07-O0471,A07-O0650,A07-O0655,A07-O0886,A07-O0935,A08-O0020,A08-O0165,A08-O0249,A08-O0254,A08-O0274,A08-O0279,A08-O0284,A08-O0301,A08-O0324,A08-O0591,A08-O0594,A08-O0648,A08-O0650,A08-O0655,A08-O0664,A08-O0666,A08-O0668,A08-O0673,A08-O0678,A08-O0689,A08-O0692,A08-O0698,A08-O0877,A08-O0939,A08-O0956,A08-O0966,A08-O0967,A08-O0968,A08-O0969,A08-O0972,A08-O0973,A08-O0974,A08-O0975,A08-O0976,A08-O0978,A08-O0980,A08-O0981,A08-O0982,A08-O0983,A08-O0984,A08-O0986,A08-O0988,A08-O0989,A08-O0990,A08-O0991,A08-O0999,A08-O1001,A08-O1002,A08-O1003,A08-O1004,A08-O1007,A08-O1008,A08-O1009,A08-O1010,A08-O1012,A08-O1013,A08-O1014,A08-O1016,A08-O1017,A08-O1018,A08-O1019,A08-O1021,A08-O1023,A08-O1028,A08-O1029,A08-O1033,A08-O1034,A08-O1035,A08-O1044,A08-O1059,A08-O1064,A08-O1070,A08-O1113,A08-O1155,A09-O0173,A09-O0174,A09-O0198,A09-O0203,A09-O0207,A09-O0208,A09-O0210,A09-O0212,A09-O0225,A09-O0304,A09-O0309,A09-O0322,A09-O0363,A09-O0538,A09-O0540,A09-O0545,A09-O0566,A09-O0719,A09-O0764,A09-O0939,A09-O1180	ALG-050-A1,ALG-050-A2,ALG-050-A3
ALG-051	Random projection trees	Vector ANN	random projection trees	A08-O0584	ALG-051-A1,ALG-051-A2,ALG-051-A3
ALG-052	Reciprocal rank and score fusion	Text retrieval	RRF	A07-O0117,A07-O0303,A08-O0588,A08-O0672,A09-O0219,A09-O0854	ALG-052-A1,ALG-052-A2,ALG-052-A3
ALG-053	Reachability and reverse reach	Traversal	REACHABILITY, forward reach, reachability, reverse reach	A07-O0023,A07-O0025,A07-O0029,A07-O0031,A07-O0035,A07-O0037,A07-O0042,A07-O0047,A07-O0048,A07-O0056,A07-O0061,A07-O0062,A07-O0065,A07-O0073,A07-O0077,A08-O0030,A08-O0031,A08-O0034,A08-O0036,A08-O0042,A08-O0044,A08-O0048,A08-O0049,A08-O0050,A08-O0051,A08-O0056,A08-O0062,A08-O0063,A08-O0071,A08-O0074,A08-O0075,A08-O0076,A08-O0079,A08-O0085,A08-O0091,A08-O0093,A08-O0100,A08-O0102,A08-O0476,A09-O0030,A09-O0071,A09-O0078,A09-O0420,A09-O0585,A09-O0947,A09-O0957,A09-O1008,A09-O1017	ALG-053-A1,ALG-053-A2,ALG-053-A3
ALG-054	Record-chain adjacency	Graph storage	Record Chain, Record chain, record chains, record-chain	A07-O0337,A07-O0354,A07-O0356,A07-O0367,A07-O0390,A07-O0392,A07-O0582,A07-O0628,A07-O0634,A07-O0635,A07-O0636,A08-O0021,A08-O0876,A08-O0943,A08-O1045,A08-O1046,A08-O1047,A09-O0903,A09-O1182	ALG-054-A1,ALG-054-A2,ALG-054-A3
ALG-055	Roaring bitmap id sets	Storage	BITMAP, Bitmap, Roaring, bitmap, roaring	A07-O0007,A07-O0162,A07-O0164,A07-O0165,A07-O0196,A07-O0198,A07-O0204,A07-O0208,A07-O0222,A07-O0249,A07-O0268,A07-O0280,A07-O0301,A07-O0308,A07-O0341,A07-O0371,A07-O0603,A07-O0617,A07-O0665,A07-O0676,A07-O0685,A07-O0694,A07-O0700,A07-O0707,A07-O0710,A07-O0719,A07-O0720,A07-O0871,A07-O0911,A08-O0005,A08-O0180,A08-O0257,A08-O0280,A08-O0298,A08-O0305,A08-O0402,A08-O0403,A08-O0457,A08-O0575,A08-O0620,A08-O0622,A08-O0623,A08-O0631,A08-O0641,A08-O0642,A08-O0654,A08-O0720,A08-O0922,A08-O0970,A08-O0987,A08-O0993,A08-O1005,A08-O1022,A08-O1025,A08-O1031,A08-O1032,A08-O1073,A08-O1074,A08-O1075,A08-O1076,A08-O1077,A08-O1078,A08-O1079,A08-O1080,A08-O1081,A08-O1082,A08-O1084,A08-O1085,A08-O1086,A08-O1087,A08-O1088,A08-O1089,A08-O1090,A08-O1091,A08-O1092,A08-O1093,A08-O1094,A08-O1095,A08-O1096,A08-O1097,A08-O1098,A08-O1099,A08-O1100,A08-O1102,A08-O1103,A08-O1105,A08-O1106,A08-O1107,A08-O1108,A08-O1109,A08-O1110,A08-O1111,A08-O1112,A08-O1114,A08-O1117,A08-O1118,A08-O1119,A08-O1120,A08-O1121,A08-O1122,A08-O1123,A08-O1124,A08-O1125,A08-O1126,A08-O1128,A08-O1129,A08-O1130,A08-O1131,A08-O1132,A08-O1133,A08-O1134,A08-O1135,A08-O1136,A08-O1137,A08-O1138,A08-O1139,A08-O1140,A08-O1142,A08-O1144,A08-O1145,A08-O1146,A08-O1147,A08-O1148,A08-O1149,A08-O1150,A08-O1151,A08-O1152,A08-O1153,A08-O1154,A08-O1156,A08-O1159,A09-O0188,A09-O0325,A09-O0338,A09-O0346,A09-O0383,A09-O0384,A09-O0385,A09-O0602,A09-O0892,A09-O0988,A09-O0997,A09-O1034,A09-O1045,A09-O1046,A09-O1063,A09-O1074,A09-O1085,A09-O1093,A09-O1099,A09-O1106,A09-O1108,A09-O1111,A09-O1119,A09-O1120	ALG-055-A1,ALG-055-A2,ALG-055-A3
ALG-056	Strongly connected components	Components	SCC	A07-O0038,A07-O0051,A08-O0064,A08-O0072,A08-O0077,A08-O0089,A08-O0097,A08-O0535	ALG-056-A1,ALG-056-A2,ALG-056-A3
ALG-057	Semiring graph traversal	Linear algebra	GraphBLAS, MIN_PLUS, Semiring, min_plus, semiring	A07-O0138,A07-O0152,A07-O0153,A07-O0178,A07-O0186,A07-O0191,A08-O0011,A08-O0207,A08-O0225,A08-O0228,A08-O0230,A08-O0236,A08-O0386,A08-O0432,A08-O0447,A08-O0506,A08-O0508,A08-O0509,A08-O0517,A08-O0519,A08-O0529,A08-O0565,A08-O0703,A08-O0712,A08-O0714,A08-O0721,A08-O0750,A08-O0903,A08-O0910,A08-O0930,A08-O1101,A08-O1141,A09-O0253,A09-O0273,A09-O0295,A09-O0373,A09-O0580,A09-O0582,A09-O0603,A09-O0630,A09-O0829,A09-O0842,A09-O0944,A09-O0945,A09-O0949,A09-O0952,A09-O0953,A09-O0960,A09-O0962,A09-O0964,A09-O0965,A09-O0966,A09-O0968,A09-O0969,A09-O0972,A09-O0975,A09-O0984,A09-O0989,A09-O0991,A09-O0993,A09-O1002,A09-O1003,A09-O1005,A09-O1006,A09-O1010,A09-O1012,A09-O1013,A09-O1014,A09-O1019,A09-O1021,A09-O1023,A09-O1028,A09-O1031,A09-O1035,A09-O1036,A09-O1039,A09-O1041,A09-O1051,A09-O1052,A09-O1056,A09-O1057	ALG-057-A1,ALG-057-A2,ALG-057-A3
ALG-058	Unweighted shortest paths	Traversal	path search, shortest path	A07-O0026,A07-O0032,A07-O0039,A07-O0043,A07-O0049,A07-O0055,A07-O0059,A07-O0067,A07-O0169,A07-O0814,A08-O0052,A08-O0068,A08-O0373,A08-O0420,A08-O0491,A08-O0493,A08-O0526,A09-O0013,A09-O0031,A09-O0034,A09-O0052,A09-O0066,A09-O0072,A09-O0085,A09-O0954	ALG-058-A1,ALG-058-A2,ALG-058-A3
ALG-059	SpMV and SpGEMM traversal	Linear algebra	SpMV, sparse matrix	A08-O0388,A08-O0433,A08-O0566,A08-O0704,A09-O0017,A09-O0584,A09-O0950,A09-O0951,A09-O1011	ALG-059-A1,ALG-059-A2,ALG-059-A3
ALG-060	Superstep and BSP convergence	Incremental	BARRIER, BSP, Pregel, Superstep, barrier, pregel, superstep	A07-O0010,A07-O0214,A07-O0761,A07-O0762,A07-O0763,A07-O0765,A07-O0766,A07-O0770,A07-O0771,A07-O0772,A07-O0773,A07-O0774,A07-O0776,A07-O0777,A07-O0778,A07-O0779,A07-O0780,A07-O0781,A07-O0784,A07-O0786,A07-O0788,A08-O0027,A08-O0213,A08-O0258,A08-O0463,A08-O0464,A08-O0465,A08-O0466,A08-O0467,A08-O0468,A08-O0470,A08-O0473,A08-O0474,A08-O0475,A08-O0477,A08-O0478,A08-O0480,A08-O0484,A08-O0486,A08-O0504,A08-O0562,A08-O0635,A08-O0793,A08-O0796,A08-O0846,A08-O0950,A08-O0957,A08-O0958,A08-O0959,A08-O0960,A08-O1197,A08-O1198,A08-O1199,A08-O1201,A08-O1202,A08-O1203,A08-O1207,A08-O1209,A08-O1211,A08-O1212,A08-O1213,A08-O1215,A08-O1216,A08-O1217,A08-O1218,A08-O1219,A08-O1220,A08-O1222,A08-O1224,A08-O1226,A09-O0282,A09-O0312,A09-O0407,A09-O0408,A09-O0409,A09-O0410,A09-O0414,A09-O0418,A09-O0419,A09-O0421,A09-O0422,A09-O0425,A09-O0434,A09-O0436,A09-O0437,A09-O0666,A09-O0908	ALG-060-A1,ALG-060-A2,ALG-060-A3
ALG-061	TF-IDF scoring	Text retrieval	TF-IDF	A08-O0596	ALG-061-A1,ALG-061-A2,ALG-061-A3
ALG-062	Triangle counting	Density	Triangles, triangle, triangle counting, triangles	A07-O0018,A07-O0291,A07-O0683,A08-O0557,A08-O0662,A09-O0019,A09-O0077,A09-O0586,A09-O0683,A09-O0715,A09-O0748,A09-O0948,A09-O0958,A09-O0979,A09-O0980,A09-O0981,A09-O0982,A09-O0992,A09-O1004,A09-O1009,A09-O1018,A09-O1029,A09-O1030,A09-O1040,A09-O1058,A09-O1083	ALG-062-A1,ALG-062-A2,ALG-062-A3
ALG-063	Triple-permutation indexing	Graph storage	OSP, POS, SPO, Triple Permutation, Triple permutation, triple permutations	A07-O0823,A07-O0825,A07-O0826,A07-O0827,A07-O0828,A07-O0831,A07-O0833,A07-O0834,A07-O0837,A07-O0838,A08-O0022,A08-O0945,A09-O1159,A09-O1161,A09-O1162,A09-O1163,A09-O1164,A09-O1165,A09-O1166,A09-O1167,A09-O1171,A09-O1172,A09-O1174,A09-O1175	ALG-063-A1,ALG-063-A2,ALG-063-A3
ALG-064	Union-find path compression	Components	UnionFind, union-find	A08-O0208,A08-O0211,A08-O0245,A09-O0274,A09-O0276,A09-O0279,A09-O0291,A09-O0300	ALG-064-A1,ALG-064-A2,ALG-064-A3
ALG-065	DiskANN and Vamana ANN	Vector ANN	DiskANN, Vamana, diskann, vamana	A07-O0155,A07-O0156,A07-O0158,A07-O0431,A07-O0455,A07-O0467,A07-O0605,A07-O0612,A07-O0618,A07-O0843,A07-O0847,A07-O0854,A07-O0857,A07-O0865,A07-O0878,A07-O0879,A07-O0882,A07-O0888,A07-O0892,A07-O0897,A07-O0904,A07-O0914,A07-O0921,A07-O0927,A07-O0928,A07-O0931,A08-O0014,A08-O0256,A08-O0576,A08-O0580,A08-O0589,A08-O0758,A08-O0771,A08-O0776,A08-O0936,A08-O0938,A09-O0308,A09-O0372,A09-O0375,A09-O0440,A09-O0441,A09-O0442,A09-O0445,A09-O0448,A09-O0449,A09-O0450,A09-O0453,A09-O0455,A09-O0456,A09-O0457,A09-O0465,A09-O0467,A09-O0468,A09-O0470,A09-O0471,A09-O0474,A09-O0475,A09-O0476,A09-O0478,A09-O0480,A09-O0484,A09-O0489,A09-O0490,A09-O0491,A09-O0492,A09-O0495,A09-O0498,A09-O0500,A09-O0506,A09-O0509,A09-O0510,A09-O0511,A09-O0515,A09-O0517,A09-O0524,A09-O0525,A09-O0526,A09-O0528,A09-O0529,A09-O0531,A09-O0532,A09-O0534,A09-O0635,A09-O0649,A09-O0653,A09-O0858,A09-O0887,A09-O0893,A09-O0928,A09-O0929,A09-O0942	ALG-065-A1,ALG-065-A2,ALG-065-A3
ALG-066	Vector quantization family	Vector storage	Binary quantization, OPQ, PQ, Product Quantization, Product quantization, SBQ, pq, product quantization	A07-O0405,A07-O0407,A07-O0408,A07-O0410,A07-O0418,A07-O0422,A07-O0429,A07-O0448,A07-O0449,A07-O0458,A07-O0462,A07-O0479,A07-O0480,A07-O0586,A07-O0587,A07-O0588,A07-O0589,A07-O0590,A07-O0591,A07-O0596,A07-O0597,A07-O0599,A07-O0600,A07-O0606,A07-O0608,A07-O0609,A07-O0610,A07-O0611,A07-O0613,A07-O0621,A07-O0623,A07-O0845,A07-O0848,A07-O0864,A07-O0872,A07-O0877,A07-O0880,A07-O0890,A07-O0893,A07-O0903,A07-O0912,A07-O0915,A07-O0917,A07-O0926,A07-O0929,A08-O0016,A08-O0265,A08-O0327,A08-O0579,A08-O0581,A08-O0759,A08-O0762,A08-O0769,A08-O0775,A08-O0935,A09-O0315,A09-O0366,A09-O0443,A09-O0446,A09-O0447,A09-O0460,A09-O0461,A09-O0462,A09-O0463,A09-O0466,A09-O0477,A09-O0493,A09-O0494,A09-O0502,A09-O0503,A09-O0504,A09-O0505,A09-O0507,A09-O0516,A09-O0527,A09-O0636,A09-O0640,A09-O0652,A09-O0851,A09-O0870,A09-O0871,A09-O0872,A09-O0873,A09-O0874,A09-O0879,A09-O0880,A09-O0881,A09-O0883,A09-O0884,A09-O0885,A09-O0886,A09-O0888,A09-O0896,A09-O0899,A09-O0931	ALG-066-A1,ALG-066-A2,ALG-066-A3
ALG-067	WAL group commit	Storage	Group commit, WAL, group commit, wal	A07-O0006,A07-O0334,A07-O0345,A07-O0363,A07-O0375,A07-O0522,A07-O0523,A07-O0533,A07-O0662,A07-O0670,A07-O0678,A07-O0680,A07-O0687,A07-O0703,A07-O0721,A07-O0722,A07-O0936,A07-O0937,A07-O0938,A07-O0939,A07-O0940,A07-O0941,A07-O0942,A07-O0943,A07-O0944,A07-O0945,A07-O0947,A07-O0948,A07-O0951,A07-O0952,A07-O0953,A07-O0954,A07-O0955,A07-O0956,A07-O0959,A08-O0002,A08-O0251,A08-O0307,A08-O0308,A08-O0319,A08-O0332,A08-O0334,A08-O0343,A08-O0354,A08-O0528,A08-O0598,A08-O0602,A08-O0845,A08-O0847,A08-O0855,A08-O0921,A09-O0306,A09-O0347,A09-O0358,A09-O0389,A09-O0404,A09-O0689,A09-O0707,A09-O0708,A09-O0731,A09-O0739,A09-O0740,A09-O0760,A09-O0761,A09-O0778,A09-O0933,A09-O1060,A09-O1068,A09-O1070,A09-O1077,A09-O1079,A09-O1087,A09-O1102,A09-O1112,A09-O1121,A09-O1122,A09-O1183,A09-O1184,A09-O1185,A09-O1186,A09-O1187,A09-O1188,A09-O1189,A09-O1190,A09-O1191,A09-O1192,A09-O1193,A09-O1194,A09-O1196,A09-O1197,A09-O1200,A09-O1201,A09-O1202,A09-O1203,A09-O1204,A09-O1205,A09-O1206,A09-O1209	ALG-067-A1,ALG-067-A2,ALG-067-A3
ALG-068	WAND and block-max WAND	Text retrieval	BLOCK max, WAND, block max, block-max, wand	A07-O0084,A07-O0086,A07-O0088,A07-O0092,A07-O0099,A07-O0102,A07-O0103,A07-O0105,A07-O0106,A07-O0111,A07-O0113,A07-O0119,A07-O0121,A07-O0124,A07-O0127,A07-O0130,A07-O0133,A07-O0136,A07-O0137,A07-O0278,A07-O0283,A07-O0285,A07-O0288,A07-O0295,A07-O0298,A07-O0311,A07-O0315,A07-O0319,A07-O0326,A07-O0631,A08-O0018,A08-O0261,A08-O0282,A08-O0286,A08-O0300,A08-O0304,A08-O0322,A08-O0592,A08-O0651,A08-O0657,A08-O0660,A08-O0665,A08-O0667,A08-O0679,A08-O0685,A08-O0690,A08-O0697,A08-O0941,A08-O0998,A08-O1038,A08-O1041,A09-O0193,A09-O0195,A09-O0197,A09-O0200,A09-O0202,A09-O0205,A09-O0206,A09-O0209,A09-O0214,A09-O0216,A09-O0221,A09-O0222,A09-O0224,A09-O0228,A09-O0230,A09-O0233,A09-O0311,A09-O0328,A09-O0342,A09-O0345,A09-O0361,A09-O0569,A09-O0855,A09-O0906,A09-O0938,A09-O0940	ALG-068-A1,ALG-068-A2,ALG-068-A3
ALG-069	Weighted path products	Linear algebra	weighted-path product	A08-O0065	ALG-069-A1,ALG-069-A2,ALG-069-A3
ALG-070	Worst-case optimal joins	Incremental	WCOJ	A08-O0315,A09-O0354	ALG-070-A1,ALG-070-A2,ALG-070-A3
ALG-071	Yen k-shortest paths	Traversal	Yen's k-shortest, k-shortest path	A08-O0548,A09-O0067	ALG-071-A1,ALG-071-A2,ALG-071-A3
